Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 12 	 7																																																																																													13.835438	0.000000	0.000000	12.771164	0.000000	0.000000	0.000001	0.000000	0.000009	0.000000																																																																																																			-26.606613	
 12 	 8																																																																																													12.050203	0.000000	0.000000	11.123256	0.000000	0.000000	0.000001	0.000000	0.000008	0.000000																																																																																																			-23.173468	
 12 	 9																																																																																													11.157624	0.000000	0.000000	10.299337	0.000000	0.000000	0.000001	0.000000	0.000007	0.000000																																																																																																			-21.456969	
 12 	 10																																																																																													12.496569	0.000000	0.000000	11.535286	0.000000	0.000000	0.000001	0.000000	0.000008	0.000000																																																																																																			-24.031864	
 12 	 11																																																																																													14.281728	0.000000	0.000000	13.183124	0.000000	0.000000	0.000001	0.000000	0.000009	0.000000																																																																																																			-27.464862	
 12 	 12																																																																																													15.709946	0.000000	0.000000	14.501478	0.000000	0.000000	0.000001	0.000000	0.000010	0.000000																																																																																																			-30.211436	
 12 	 13																																																																																													14.281728	0.000000	0.000000	13.183124	0.000000	0.000000	0.000001	0.000000	0.000009	0.000000																																																																																																			-27.464862	
 12 	 14																																																																																													14.460274	0.000000	0.000000	13.347936	0.000000	0.000000	0.000001	0.000000	0.000009	0.000000																																																																																																			-27.808221	
 12 	 15																																																																																													16.245509	0.000000	0.000000	14.995844	0.000000	0.000000	0.000001	0.000000	0.000010	0.000000																																																																																																			-31.241365	
 12 	 16																																																																																													16.959619	0.000000	0.000000	15.655021	0.000000	0.000000	0.000001	0.000000	0.000011	0.000000																																																																																																			-32.614652	
 12 	 17																																																																																													16.959619	0.000000	0.000000	15.655021	0.000000	0.000000	0.000001	0.000000	0.000011	0.000000																																																																																																			-32.614652	
 12 	 18																																																																																													12.496569	0.000000	0.000000	11.535286	0.000000	0.000000	0.000001	0.000000	0.000008	0.000000																																																																																																			-24.031864	
 12 	 19																																																																																													8.926099	0.000000	0.000000	8.239470	0.000000	0.000000	0.000001	0.000000	0.000006	0.000000																																																																																																			-17.165576	
 12 	 20																																																																																													6.693587	0.000000	0.000000	6.178691	0.000000	0.000000	0.000000	0.000000	0.000004	0.000000																																																																																																			-12.872282	
 12 	 21																																																																																													4.459858	0.000000	0.000000	4.116789	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000																																																																																																			-8.576651	
 12 	 22																																																																																													2.856741	0.000000	0.000000	2.636989	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000																																																																																																			-5.493732	
 12 	 23																																																																																													1.785463	0.000000	0.000000	1.648118	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000																																																																																																			-3.433583	
 12 	 24																																																																																													0.714185	0.000000	0.000000	0.659247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																			-1.373433	
